Date,Open,High,Low,Close,Adj Close,Volume
01/01/2017,15.5,17.7,15.2,17.7,17.3,103543063.0
01/02/2017,17.6,18.5,17.5,17.8,17.4,76965941.0
01/03/2017,17.8,18.3,17.5,18.0,17.6,91508941.0
01/04/2017,18.0,19.0,17.8,18.8,18.4,97324860.0
01/05/2017,18.9,19.5,17.9,19.5,19.0,152801267.0
01/06/2017,19.5,19.6,16.9,17.2,16.7,156041319.0
01/07/2017,17.2,18.1,16.8,18.0,17.6,59006154.0
01/08/2017,18.1,21.0,17.6,21.0,20.5,71182804.0
01/09/2017,21.0,21.8,20.7,21.7,21.1,105396658.0
01/10/2017,21.7,23.6,21.7,23.2,22.7,94608956.0
01/11/2017,23.4,23.4,21.5,22.0,21.4,123088492.0
01/12/2017,21.8,23.8,20.6,22.8,22.3,126760765.0
01/01/2018,22.9,25.9,19.5,20.1,19.6,294007042.0
01/02/2018,20.0,21.2,18.2,20.8,20.3,151368489.0
01/03/2018,20.8,22.4,19.7,20.5,20.1,125341526.0
01/04/2018,20.6,21.6,19.8,20.1,19.7,80414442.0
01/05/2018,20.1,23.3,19.4,22.6,22.1,134668659.0
01/06/2018,23.2,25.5,23.2,23.7,23.2,114608697.0
01/07/2018,26.6,27.0,25.3,26.0,25.3,180451280.0
01/08/2018,26.0,27.3,25.9,27.0,26.3,100548163.0
01/09/2018,27.0,27.8,26.4,27.3,26.6,109313016.0
01/10/2018,27.3,27.5,24.1,25.4,24.8,148954752.0
01/11/2018,25.5,30.1,25.1,29.6,28.9,248472782.0
01/12/2018,29.8,30.0,21.1,24.8,24.2,274077051.0
01/01/2019,24.4,25.1,21.3,24.6,24.0,175931424.0
01/02/2019,24.8,28.9,24.6,28.3,27.6,86566557.0
01/03/2019,29.2,31.0,26.1,29.7,29.0,100585119.0
01/04/2019,30.3,34.2,30.0,34.2,33.3,63518568.0
01/05/2019,34.4,35.8,28.9,30.2,29.5,80348649.0
01/06/2019,30.1,30.2,25.6,25.7,25.1,103755728.0
01/07/2019,26.5,30.0,25.6,29.3,28.6,114387833.0
01/08/2019,29.4,30.0,22.5,26.1,25.5,153961478.0
01/09/2019,25.9,28.3,25.5,26.3,25.7,108567088.0
01/10/2019,26.4,27.4,24.7,26.8,26.2,68360109.0
01/11/2019,27.0,28.7,24.6,24.6,24.0,90087969.0
01/12/2019,24.5,26.5,23.5,26.0,25.4,98894850.0
01/01/2020,26.4,26.7,24.3,24.7,24.1,103716072.0
01/02/2020,24.7,27.2,19.9,20.5,20.0,133433989.0
01/03/2020,20.6,22.2,12.9,20.0,19.6,187864129.0
01/04/2020,19.1,22.1,18.0,21.6,21.1,106696288.0
01/05/2020,21.1,25.3,19.7,25.2,24.6,97446076.0
01/06/2020,25.0,28.0,23.1,27.8,27.2,155379472.0
01/07/2020,27.9,31.9,25.9,30.3,29.6,137813657.0
01/08/2020,30.4,34.3,30.1,33.5,32.7,85312720.0
01/09/2020,33.7,34.9,31.8,34.3,33.5,101118026.0
01/10/2020,34.6,36.2,29.8,30.5,29.8,64984110.0
01/11/2020,31.0,35.7,30.4,35.0,34.1,65261512.0
01/12/2020,35.4,38.2,35.0,37.1,36.3,106485376.0
01/01/2021,37.5,39.4,35.6,36.9,36.1,100613134.0
01/02/2021,37.3,42.2,36.8,41.1,40.1,98356024.0
01/03/2021,41.1,46.4,41.1,44.7,43.6,120767135.0
01/04/2021,44.7,52.6,44.6,49.8,48.6,123707496.0
01/05/2021,50.3,51.5,47.6,50.0,48.8,77448144.0
01/06/2021,50.5,53.0,49.3,50.5,49.3,103493322.0
01/07/2021,50.2,51.1,45.9,49.0,47.8,76137281.0
01/08/2021,49.2,52.0,48.2,49.4,48.2,69217969.0
01/09/2021,49.4,53.9,47.7,52.7,51.5,122330933.0
01/10/2021,53.0,58.3,52.2,55.7,54.4,116876575.0
01/11/2021,55.4,58.0,53.0,56.5,55.1,138397202.0
01/12/2021,57.0,59.5,53.1,56.2,54.8,84858000.0
